Unit Id,Institution name,,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
157058,Kentucky State University,Number admitted,1198,941,1658,1808,3119,2415,1936,3126,3116,2610,2400,2790,1410,687,337,2253,727
157058,Kentucky State University,Number admitted who enrolled,274,317,202,210,286,506,471,558,575,558,777,679,420,366,337,2253,402
157058,Kentucky State University,Percent of applicants admitted,72.2%,45.3%,49.0%,37.9%,47.7%,37.7%,44.7%,30.3%,25.4%,24.2%,30.9%,38.2%,27.9%,33.4%,15.3%,85.5%,52.0%
157058,Kentucky State University,Percent of admitted who enrolled,22.9%,33.7%,12.2%,11.6%,9.2%,21.0%,24.3%,17.9%,18.5%,21.4%,32.4%,24.3%,29.8%,53.3%,100.0%,100.0%,55.3%
157085,University of Kentucky,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
157085,University of Kentucky,Number of applicants,19324,18925,20480,18725,20677,19810,15153,13537,12195,11120,10619,10024,10516,10604,9418,8879,8449
157085,University of Kentucky,Number admitted,18258,18125,18593,16685,14930,13592,10362,9275,8966,8757,8172,8073,8124,8353,7603,7250,6914
157085,University of Kentucky,Number admitted who enrolled,5077,4855,5117,5211,5185,4702,4139,4328,4153,4110,3865,4190,3835,3961,3688,3718,3140
157085,University of Kentucky,Percent of applicants admitted,94.5%,95.8%,90.8%,89.1%,72.2%,68.6%,68.4%,68.5%,73.5%,78.8%,77.0%,80.5%,77.3%,78.8%,80.7%,81.7%,81.8%
157085,University of Kentucky,Percent of admitted who enrolled,27.8%,26.8%,27.5%,31.2%,34.7%,34.6%,39.9%,46.7%,46.3%,46.9%,47.3%,51.9%,47.2%,47.4%,48.5%,51.3%,45.4%
157289,University of Louisville,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
157289,University of Louisville,Number of applicants,13851,10987,10404,9685,10604,9166,7892,7749,7755,7861,7280,6323,5712,5335,5284,5306,5814
157289,University of Louisville,Number admitted,10032,8273,7550,6943,7832,6519,5738,5804,5625,5473,5109,4477,4515,4325,4189,4076,3955
157289,University of Louisville,Number admitted who enrolled,2932,2796,2883,2797,2887,2857,2569,2561,2478,2609,2569,2443,2318,2358,2307,2318,2331
157289,University of Louisville,Percent of applicants admitted,72.4%,75.3%,72.6%,71.7%,73.9%,71.1%,72.7%,74.9%,72.5%,69.6%,70.2%,70.8%,79.0%,81.1%,79.3%,76.8%,68.0%
157289,University of Louisville,Percent of admitted who enrolled,29.2%,33.8%,38.2%,40.3%,36.9%,43.8%,44.8%,44.1%,44.1%,47.7%,50.3%,54.6%,51.3%,54.5%,55.1%,56.9%,58.9%
157386,Morehead State University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
157386,Morehead State University,Number of applicants,6739,5392,4327,4888,5236,5230,3342,2461,2768,5720,5257,4757,5092,5194,5183,5122,5171
157386,Morehead State University,Number admitted,5341,4293,3702,4174,4421,4419,3099,2185,2181,3118,3740,3300,3528,3422,3686,3706,3767
157386,Morehead State University,Number admitted who enrolled,1472,1346,1350,1461,1513,1649,1372,1180,1260,1338,1409,1306,1300,1284,1520,1546,1587
157386,Morehead State University,Percent of applicants admitted,79.3%,79.6%,85.6%,85.4%,84.4%,84.5%,92.7%,88.8%,78.8%,54.5%,71.1%,69.4%,69.3%,65.9%,71.1%,72.4%,72.8%
157386,Morehead State University,Percent of admitted who enrolled,27.6%,31.4%,36.5%,35.0%,34.2%,37.3%,44.3%,54.0%,57.8%,42.9%,37.7%,39.6%,36.8%,37.5%,41.2%,41.7%,42.1%
157401,Murray State University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
157401,Murray State University,Number of applicants,8256,6900,6479,4874,4760,4576,4282,4057,4233,3072,3108,2916,3057,2833,2972,2742,2743
157401,Murray State University,Number admitted,6722,5980,5530,4416,3806,3760,3566,3305,3108,2629,2636,2416,2509,2382,2599,2421,2411
157401,Murray State University,Number admitted who enrolled,1319,1443,1502,1468,1508,1626,1536,1390,1391,1311,1339,1276,1337,1313,1427,1425,1428
157401,Murray State University,Percent of applicants admitted,81.4%,86.7%,85.4%,90.6%,80.0%,82.2%,83.3%,81.5%,73.4%,85.6%,84.8%,82.9%,82.1%,84.1%,87.4%,88.3%,87.9%
157401,Murray State University,Percent of admitted who enrolled,19.6%,24.1%,27.2%,33.2%,39.6%,43.2%,43.1%,42.1%,44.8%,49.9%,50.8%,52.8%,53.3%,55.1%,54.9%,58.9%,59.2%
157447,Northern Kentucky University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,N/A,N/A,N/A
157447,Northern Kentucky University,Number of applicants,5995,5852,6059,7397,6293,7064,7330,7202,7202,6887,5367,5535,5337,4317,-,-,0
157447,Northern Kentucky University,Number admitted,5351,5289,5519,6797,5709,3299,4704,4772,4772,4767,4167,3912,3787,3242,-,-,0
157447,Northern Kentucky University,Number admitted who enrolled,1980,2145,2148,2266,2193,2107,2271,2337,2294,2268,2183,2025,2016,1818,-,-,0
157447,Northern Kentucky University,Percent of applicants admitted,89.3%,90.4%,91.1%,91.9%,90.7%,46.7%,64.2%,66.3%,66.3%,69.2%,77.6%,70.7%,71.0%,75.1%,-,-,0
157447,Northern Kentucky University,Percent of admitted who enrolled,37.0%,40.6%,38.9%,33.3%,38.4%,63.9%,48.3%,49.0%,48.1%,47.6%,52.4%,51.8%,53.2%,56.1%,-,-,0
157793,Sullivan University,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
157793,Sullivan University,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
157793,Sullivan University,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
157793,Sullivan University,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
157793,Sullivan University,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
157793,Sullivan University,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
157951,Western Kentucky University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,N/A,Fall 2007,N/A,Fall 2005,Fall 2004,Fall 2003,Fall 2001
157951,Western Kentucky University,Number of applicants,9250,9804,9693,8957,8462,8526,8017,7993,7757,7409,-,6857,-,6784,6082,6372,5105
157951,Western Kentucky University,Number admitted,8992,9358,9113,8303,7897,7871,7355,7393,7331,6976,-,6564,-,6224,5675,5926,4332
157951,Western Kentucky University,Number admitted who enrolled,2934,3116,3192,3121,3136,3375,3385,3377,3387,3303,-,3121,-,3158,3211,3392,2713
157951,Western Kentucky University,Percent of applicants admitted,97.2%,95.5%,94.0%,92.7%,93.3%,92.3%,91.7%,92.5%,94.5%,94.2%,-,95.7%,-,91.7%,93.3%,93.0%,84.9%
157951,Western Kentucky University,Percent of admitted who enrolled,32.6%,33.3%,35.0%,37.6%,39.7%,42.9%,46.0%,45.7%,46.2%,47.3%,-,47.5%,-,50.7%,56.6%,57.2%,62.6%
159009,Grambling State University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,N/A,N/A,N/A,N/A,N/A
159009,Grambling State University,Number of applicants,3275,7232,6340,3584,2894,4545,5154,3656,4253,4399,6075,5957,-,-,-,-,0
159009,Grambling State University,Number admitted,3103,3093,2862,1370,1272,1983,2170,2014,1322,1463,2287,1793,-,-,-,-,0
159009,Grambling State University,Number admitted who enrolled,923,877,865,630,406,714,756,760,737,931,1215,1211,-,-,-,-,0
159009,Grambling State University,Percent of applicants admitted,94.7%,42.8%,45.1%,38.2%,44.0%,43.6%,42.1%,55.1%,31.1%,33.3%,37.6%,30.1%,-,-,-,-,0
159009,Grambling State University,Percent of admitted who enrolled,29.7%,28.4%,30.2%,46.0%,31.9%,36.0%,34.8%,37.7%,55.7%,63.6%,53.1%,67.5%,-,-,-,-,0
159373,Louisiana State University Health Sciences Center-New Orleans,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
159373,Louisiana State University Health Sciences Center-New Orleans,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
159373,Louisiana State University Health Sciences Center-New Orleans,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
159373,Louisiana State University Health Sciences Center-New Orleans,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
159373,Louisiana State University Health Sciences Center-New Orleans,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
159373,Louisiana State University Health Sciences Center-New Orleans,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
159382,Louisiana State University-Alexandria,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,N/A,N/A,N/A,N/A,N/A
159382,Louisiana State University-Alexandria,Number of applicants,2333,2147,2101,2279,1056,1080,997,869,862,646,548,587,-,-,-,-,0
159382,Louisiana State University-Alexandria,Number admitted,1317,667,700,1545,576,656,609,530,637,482,427,538,-,-,-,-,0
159382,Louisiana State University-Alexandria,Number admitted who enrolled,468,470,529,508,451,391,371,332,374,376,332,367,-,-,-,-,0
159382,Louisiana State University-Alexandria,Percent of applicants admitted,56.5%,31.1%,33.3%,67.8%,54.5%,60.7%,61.1%,61.0%,73.9%,74.6%,77.9%,91.7%,-,-,-,-,0
159382,Louisiana State University-Alexandria,Percent of admitted who enrolled,35.5%,70.5%,75.6%,32.9%,78.3%,59.6%,60.9%,62.6%,58.7%,78.0%,77.8%,68.2%,-,-,-,-,0
159391,Louisiana State University and Agricultural & Mechanical College,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
159391,Louisiana State University and Agricultural & Mechanical College,Number of applicants,24280,17907,18122,17429,16580,16169,14818,18214,15917,15093,11452,10135,10825,11077,10147,10376,10536
159391,Louisiana State University and Agricultural & Mechanical College,Number admitted,18024,13236,13843,13480,12706,12326,11789,13148,11012,11092,8332,7455,7927,8660,8171,7973,8336
159391,Louisiana State University and Agricultural & Mechanical College,Number admitted who enrolled,5812,4917,5475,5624,5655,5725,5290,5481,4789,5141,4596,4508,4970,5700,5428,5262,5301
159391,Louisiana State University and Agricultural & Mechanical College,Percent of applicants admitted,74.2%,73.9%,76.4%,77.3%,76.6%,76.2%,79.6%,72.2%,69.2%,73.5%,72.8%,73.6%,73.2%,78.2%,80.5%,76.8%,79.1%
159391,Louisiana State University and Agricultural & Mechanical College,Percent of admitted who enrolled,32.2%,37.1%,39.6%,41.7%,44.5%,46.4%,44.9%,41.7%,43.5%,46.3%,55.2%,60.5%,62.7%,65.8%,66.4%,66.0%,63.6%
159416,Louisiana State University-Shreveport,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,N/A,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
159416,Louisiana State University-Shreveport,Number of applicants,712,594,691,642,690,539,629,888,597,768,-,1538,907,1020,591,848,794
159416,Louisiana State University-Shreveport,Number admitted,616,498,612,485,529,450,543,430,490,581,-,1219,728,455,591,848,794
159416,Louisiana State University-Shreveport,Number admitted who enrolled,293,286,258,357,348,345,370,321,340,413,-,425,429,455,591,579,501
159416,Louisiana State University-Shreveport,Percent of applicants admitted,86.5%,83.8%,88.6%,75.5%,76.7%,83.5%,86.3%,48.4%,82.1%,75.7%,-,79.3%,80.3%,44.6%,100.0%,100.0%,100.0%
159416,Louisiana State University-Shreveport,Percent of admitted who enrolled,47.6%,57.4%,42.2%,73.6%,65.8%,76.7%,68.1%,74.7%,69.4%,71.1%,-,34.9%,58.9%,100.0%,100.0%,68.3%,63.1%
159647,Louisiana Tech University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
159647,Louisiana Tech University,Number of applicants,7297,6952,7227,6378,5863,5077,4580,5271,4980,4734,4354,4362,4216,3519,3897,3768,3607
159647,Louisiana Tech University,Number admitted,4602,4508,4567,4072,3813,3424,3243,3274,3029,2973,2817,2866,2949,2932,3368,3454,3335
159647,Louisiana Tech University,Number admitted who enrolled,2186,1917,2018,1962,1853,1552,1307,1632,1600,1507,1557,1592,1706,1797,1914,2107,2060
159647,Louisiana Tech University,Percent of applicants admitted,63.1%,64.8%,63.2%,63.8%,65.0%,67.4%,70.8%,62.1%,60.8%,62.8%,64.7%,65.7%,69.9%,83.3%,86.4%,91.7%,92.5%
159647,Louisiana Tech University,Percent of admitted who enrolled,47.5%,42.5%,44.2%,48.2%,48.6%,45.3%,40.3%,49.8%,52.8%,50.7%,55.3%,55.5%,57.9%,61.3%,56.8%,61.0%,61.8%
159717,McNeese State University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
159717,McNeese State University,Number of applicants,3224,3300,3160,3002,2734,3624,2964,2778,2903,2859,2798,2267,2217,1985,2313,2183,2066
159717,McNeese State University,Number admitted,2267,2054,2013,2463,2058,2229,2035,1903,1966,2210,2131,1768,1742,1629,2048,1927,1744
159717,McNeese State University,Number admitted who enrolled,1373,1322,1244,1439,1260,1313,1383,1332,1317,1342,1336,1298,1316,1405,1673,1488,1361
159717,McNeese State University,Percent of applicants admitted,70.3%,62.2%,63.7%,82.0%,75.3%,61.5%,68.7%,68.5%,67.7%,77.3%,76.2%,78.0%,78.6%,82.1%,88.5%,88.3%,84.4%
159717,McNeese State University,Percent of admitted who enrolled,60.6%,64.4%,61.8%,58.4%,61.2%,58.9%,68.0%,70.0%,67.0%,60.7%,62.7%,73.4%,75.5%,86.2%,81.7%,77.2%,78.0%
159939,University of New Orleans,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
159939,University of New Orleans,Number of applicants,4715,3736,3409,3932,3828,3197,3237,3353,3467,3794,3615,1767,2377,5258,6197,5467,5011
159939,University of New Orleans,Number admitted,2700,2115,2047,2267,1668,1610,1592,1862,1933,2166,1998,1430,1855,3835,3928,3810,3318
159939,University of New Orleans,Number admitted who enrolled,1019,960,876,922,865,860,883,1105,1066,1259,1214,1119,1001,2082,2043,2284,1974
159939,University of New Orleans,Percent of applicants admitted,57.3%,56.6%,60.0%,57.7%,43.6%,50.4%,49.2%,55.5%,55.8%,57.1%,55.3%,80.9%,78.0%,72.9%,63.4%,69.7%,66.2%
159939,University of New Orleans,Percent of admitted who enrolled,37.7%,45.4%,42.8%,40.7%,51.9%,53.4%,55.5%,59.3%,55.1%,58.1%,60.8%,78.3%,54.0%,54.3%,52.0%,59.9%,59.5%
159966,Nicholls State University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,N/A,N/A,N/A
159966,Nicholls State University,Number of applicants,2651,2571,2734,2399,2424,2404,2336,2174,2579,1890,2420,2129,2075,2541,-,-,0
159966,Nicholls State University,Number admitted,2484,2410,2260,2164,2142,2090,2144,1830,2007,1478,1993,1787,1815,2134,-,-,0
159966,Nicholls State University,Number admitted who enrolled,1301,1218,1138,1212,1210,1243,1253,1135,1218,1247,1268,1202,1119,1301,-,-,0
159966,Nicholls State University,Percent of applicants admitted,93.7%,93.7%,82.7%,90.2%,88.4%,86.9%,91.8%,84.2%,77.8%,78.2%,82.4%,83.9%,87.5%,84.0%,-,-,0
159966,Nicholls State University,Percent of admitted who enrolled,52.4%,50.5%,50.4%,56.0%,56.5%,59.5%,58.4%,62.0%,60.7%,84.4%,63.6%,67.3%,61.7%,61.0%,-,-,0
159993,University of Louisiana at Monroe,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
159993,University of Louisiana at Monroe,Number of applicants,4253,4035,4563,3417,3863,3454,2641,2043,2295,2702,2529,2758,2703,2762,2423,1405,1180
159993,University of Louisiana at Monroe,Number admitted,3020,3045,3474,2995,2983,2668,2414,1878,1673,2003,1931,2272,2226,2454,2188,1387,1172
159993,University of Louisiana at Monroe,Number admitted who enrolled,1308,1342,1366,1301,1235,1325,1323,1091,1030,1340,1187,1432,1461,1571,1548,1387,1172
159993,University of Louisiana at Monroe,Percent of applicants admitted,71.0%,75.5%,76.1%,87.6%,77.2%,77.2%,91.4%,91.9%,72.9%,74.1%,76.4%,82.4%,82.4%,88.8%,90.3%,98.7%,99.3%
159993,University of Louisiana at Monroe,Percent of admitted who enrolled,43.3%,44.1%,39.3%,43.4%,41.4%,49.7%,54.8%,58.1%,61.6%,66.9%,61.5%,63.0%,65.6%,64.0%,70.7%,100.0%,100.0%
160038,Northwestern State University of Louisiana,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
160038,Northwestern State University of Louisiana,Number of applicants,4444,4409,5180,3231,3087,2812,3238,2756,2643,2785,2677,2891,2898,2852,3992,4389,3805
160038,Northwestern State University of Louisiana,Number admitted,3643,3540,3201,2713,2253,2362,2750,2270,2200,2253,2214,2385,2522,2206,3620,4313,3805
160038,Northwestern State University of Louisiana,Number admitted who enrolled,1560,1542,1462,1273,1192,1231,1370,1222,1135,1344,1236,1345,1382,1539,1980,2173,2162
160038,Northwestern State University of Louisiana,Percent of applicants admitted,82.0%,80.3%,61.8%,84.0%,73.0%,84.0%,84.9%,82.4%,83.2%,80.9%,82.7%,82.5%,87.0%,77.3%,90.7%,98.3%,100.0%
160038,Northwestern State University of Louisiana,Percent of admitted who enrolled,42.8%,43.6%,45.7%,46.9%,52.9%,52.1%,49.8%,53.8%,51.6%,59.7%,55.8%,56.4%,54.8%,69.8%,54.7%,50.4%,56.8%
160612,Southeastern Louisiana University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
160612,Southeastern Louisiana University,Number of applicants,4328,4451,4293,3718,3909,7657,6993,7207,7618,6778,6509,6385,6100,4354,4944,3373,3447
160612,Southeastern Louisiana University,Number admitted,3879,3932,3748,3270,3273,3430,3191,3106,3227,3293,3311,3096,3391,2650,3113,3229,3141
160612,Southeastern Louisiana University,Number admitted who enrolled,2665,2737,2616,2450,2431,2565,2479,2458,2589,2720,2726,2687,2855,2277,2527,2648,2590
160612,Southeastern Louisiana University,Percent of applicants admitted,89.6%,88.3%,87.3%,88.0%,83.7%,44.8%,45.6%,43.1%,42.4%,48.6%,50.9%,48.5%,55.6%,60.9%,63.0%,95.7%,91.1%
160612,Southeastern Louisiana University,Percent of admitted who enrolled,68.7%,69.6%,69.8%,74.9%,74.3%,74.8%,77.7%,79.1%,80.2%,82.6%,82.3%,86.8%,84.2%,85.9%,81.2%,82.0%,82.5%
160621,Southern University and A & M College,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
160621,Southern University and A & M College,Number of applicants,11245,5307,3816,2505,3003,3721,2969,3289,4594,2943,3101,2508,4703,4692,4217,3626,3239
160621,Southern University and A & M College,Number admitted,4188,2413,3770,1968,1611,1336,1243,1412,1701,1677,1711,1375,2479,2457,2872,1971,1438
160621,Southern University and A & M College,Number admitted who enrolled,1340,1237,1071,1219,956,781,847,886,1010,1044,1129,1142,1502,1503,1357,1191,1220
160621,Southern University and A & M College,Percent of applicants admitted,37.2%,45.5%,98.8%,78.6%,53.6%,35.9%,41.9%,42.9%,37.0%,57.0%,55.2%,54.8%,52.7%,52.4%,68.1%,54.4%,44.4%
160621,Southern University and A & M College,Percent of admitted who enrolled,32.0%,51.3%,28.4%,61.9%,59.3%,58.5%,68.1%,62.7%,59.4%,62.3%,66.0%,83.1%,60.6%,61.2%,47.2%,60.4%,84.8%
160630,Southern University at New Orleans,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160630,Southern University at New Orleans,Number of applicants,1047,1650,1907,1795,1609,1563,1563,2059,1260,-,-,-,-,-,-,-,0
160630,Southern University at New Orleans,Number admitted,315,407,220,385,333,764,272,415,616,-,-,-,-,-,-,-,0
160630,Southern University at New Orleans,Number admitted who enrolled,201,218,144,211,151,684,202,355,437,-,-,-,-,-,-,-,0
160630,Southern University at New Orleans,Percent of applicants admitted,30.1%,24.7%,11.5%,21.4%,20.7%,48.9%,17.4%,20.2%,48.9%,-,-,-,-,-,-,-,0
160630,Southern University at New Orleans,Percent of admitted who enrolled,63.8%,53.6%,65.5%,54.8%,45.3%,89.5%,74.3%,85.5%,70.9%,-,-,-,-,-,-,-,0
160658,University of Louisiana at Lafayette,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
160658,University of Louisiana at Lafayette,Number of applicants,9468,10436,11633,10897,9386,8506,9262,9062,8426,7584,7479,7203,7140,6309,5165,4766,4604
160658,University of Louisiana at Lafayette,Number admitted,5301,5309,5945,6023,5237,5044,5591,5975,5635,5095,5074,5059,5219,4782,4388,4148,3887
160658,University of Louisiana at Lafayette,Number admitted who enrolled,2733,2982,3024,3179,2922,2693,2728,2966,2955,2606,2629,2845,2914,2819,2785,2734,2527
160658,University of Louisiana at Lafayette,Percent of applicants admitted,56.0%,50.9%,51.1%,55.3%,55.8%,59.3%,60.4%,65.9%,66.9%,67.2%,67.8%,70.2%,73.1%,75.8%,85.0%,87.0%,84.4%
160658,University of Louisiana at Lafayette,Percent of admitted who enrolled,51.6%,56.2%,50.9%,52.8%,55.8%,53.4%,48.8%,49.6%,52.4%,51.1%,51.8%,56.2%,55.8%,59.0%,63.5%,65.9%,65.0%
160995,Beal College,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160995,Beal College,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
160995,Beal College,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
160995,Beal College,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
160995,Beal College,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
160995,Beal College,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
161217,University of Maine at Augusta,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
161217,University of Maine at Augusta,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
161217,University of Maine at Augusta,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
161217,University of Maine at Augusta,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
161217,University of Maine at Augusta,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
161217,University of Maine at Augusta,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
161226,University of Maine at Farmington,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2009,Fall 2008,Fall 2008,Fall 2006,Fall 2005,Fall 2005,Fall 2004,Fall 2003,Fall 2002
161226,University of Maine at Farmington,Number of applicants,1905,1939,1880,1614,1463,1638,1417,1580,1534,1902,1902,1721,1602,1602,1658,1521,1410
161226,University of Maine at Farmington,Number admitted,1547,1601,1512,1346,1237,1371,1240,1291,1232,1293,1293,1245,1190,1190,1189,1095,1004
161226,University of Maine at Farmington,Number admitted who enrolled,392,437,435,448,412,439,425,484,492,525,525,547,555,572,524,531,470
161226,University of Maine at Farmington,Percent of applicants admitted,81.2%,82.6%,80.4%,83.4%,84.6%,83.7%,87.5%,81.7%,80.3%,68.0%,68.0%,72.3%,74.3%,74.3%,71.7%,72.0%,71.2%
161226,University of Maine at Farmington,Percent of admitted who enrolled,25.3%,27.3%,28.8%,33.3%,33.3%,32.0%,34.3%,37.5%,39.9%,40.6%,40.6%,43.9%,46.6%,48.1%,44.1%,48.5%,46.8%
161235,University of Maine at Fort Kent,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
161235,University of Maine at Fort Kent,Number of applicants,522,572,481,215,449,464,561,534,-,-,-,-,-,-,-,-,0
161235,University of Maine at Fort Kent,Number admitted,496,556,392,192,335,292,389,463,-,-,-,-,-,-,-,-,0
161235,University of Maine at Fort Kent,Number admitted who enrolled,157,135,172,124,136,162,182,166,-,-,-,-,-,-,-,-,0
161235,University of Maine at Fort Kent,Percent of applicants admitted,95.0%,97.2%,81.5%,89.3%,74.6%,62.9%,69.3%,86.7%,-,-,-,-,-,-,-,-,0
161235,University of Maine at Fort Kent,Percent of admitted who enrolled,31.7%,24.3%,43.9%,64.6%,40.6%,55.5%,46.8%,35.9%,-,-,-,-,-,-,-,-,0
161244,University of Maine at Machias,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
161244,University of Maine at Machias,Number of applicants,-,-,-,-,-,452,442,405,360,374,363,381,357,374,355,510,478
161244,University of Maine at Machias,Number admitted,-,-,-,-,-,386,365,318,290,276,302,349,300,312,300,416,395
161244,University of Maine at Machias,Number admitted who enrolled,-,-,-,-,-,104,138,136,112,106,117,112,108,120,90,160,154
