,Unit Id,School,Applicatin_Status,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
1216,141574,University of Hawaii at Manoa,Percent of applicants admitted,83.5%,83.2%,85.0%,81.4%,78.8%,80.1%,78.5%,70.9%,67.2%,66.7%,68.9%,68.2%,67.9%,65.1%,66.8%,72.8%,99.2%
1217,141574,University of Hawaii at Manoa,Percent of admitted who enrolled,28.3%,27.7%,31.4%,30.5%,31.1%,35.8%,39.3%,37.3%,39.7%,39.8%,42.7%,42.2%,43.2%,46.3%,51.2%,52.5%,52.7%
1230,142115,Boise State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2002
1231,142115,Boise State University,Number of applicants,10789,8876,8330,8156,8153,7832,5184,5308,5845,4127,4102,3487,3340,3294,3900,4302,4842
1232,142115,Boise State University,Number admitted,8712,7455,6808,6490,6278,6082,4426,4486,3771,3606,3323,3014,2991,2954,3602,3636,4176
1233,142115,Boise State University,Number admitted who enrolled,2824,2743,2574,2193,2270,2205,2363,2331,2513,2194,2871,2270,2501,2143,2137,2236,4176
1234,142115,Boise State University,Percent of applicants admitted,80.7%,84.0%,81.7%,79.6%,77.0%,77.7%,85.4%,84.5%,64.5%,87.4%,81.0%,86.4%,89.6%,89.7%,92.4%,84.5%,86.2%
1235,142115,Boise State University,Percent of admitted who enrolled,32.4%,36.8%,37.8%,33.8%,36.2%,36.3%,53.4%,52.0%,66.6%,60.8%,86.4%,75.3%,83.6%,72.5%,59.3%,61.5%,100.0%
1236,142276,Idaho State University,Reporting period,,,,,,,,,,,,,,,,,
1237,142276,Idaho State University,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
1238,142276,Idaho State University,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
1239,142276,Idaho State University,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
1240,142276,Idaho State University,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
1241,142276,Idaho State University,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
1242,142285,University of Idaho,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2011,Fall 2010,Fall 2008,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1243,142285,University of Idaho,Number of applicants,7938,7087,5953,6212,8515,7455,8248,8248,5098,4935,4932,4577,4324,4444,4152,3972,3936
1244,142285,University of Idaho,Number admitted,6132,5180,4518,4476,5746,4894,5020,5020,4015,3844,3844,3505,3460,3696,3434,3201,3221
1245,142285,University of Idaho,Number admitted who enrolled,1434,1537,1660,1588,1587,1643,1631,1631,1757,1709,1709,1664,1643,1745,1649,1646,1680
1246,142285,University of Idaho,Percent of applicants admitted,77.2%,73.1%,75.9%,72.1%,67.5%,65.6%,60.9%,60.9%,78.8%,77.9%,77.9%,76.6%,80.0%,83.2%,82.7%,80.6%,81.8%
1247,142285,University of Idaho,Percent of admitted who enrolled,23.4%,29.7%,36.7%,35.5%,27.6%,33.6%,32.5%,32.5%,43.8%,44.5%,44.5%,47.5%,47.5%,47.2%,48.0%,51.4%,52.2%
1260,144005,Chicago State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1261,144005,Chicago State University,Number of applicants,3236,2618,2571,5883,5517,5219,3939,3876,3157,3371,2474,2303,2038,2969,4392,3949,2235
1262,144005,Chicago State University,Number admitted,1060,906,1488,1246,1653,1495,1487,1673,1478,1889,1502,1313,1140,1401,2365,2195,875
1263,144005,Chicago State University,Number admitted who enrolled,157,131,295,199,282,276,323,483,544,651,450,448,423,451,622,542,474
1264,144005,Chicago State University,Percent of applicants admitted,32.8%,34.6%,57.9%,21.2%,30.0%,28.6%,37.8%,43.2%,46.8%,56.0%,60.7%,57.0%,55.9%,47.2%,53.8%,55.6%,39.1%
1265,144005,Chicago State University,Percent of admitted who enrolled,14.8%,14.5%,19.8%,16.0%,17.1%,18.5%,21.7%,28.9%,36.8%,34.5%,30.0%,34.1%,37.1%,32.2%,26.3%,24.7%,54.2%
1266,144892,Eastern Illinois University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1267,144892,Eastern Illinois University,Number of applicants,8580,6965,8420,9103,8918,7881,6710,7076,7531,7563,7676,7178,7495,7682,8542,8103,7544
1268,144892,Eastern Illinois University,Number admitted,4746,3588,3947,4571,4438,4879,4337,4808,4933,5173,5331,5089,5448,5975,3310,6313,5872
1269,144892,Eastern Illinois University,Number admitted who enrolled,798,662,772,1143,1126,1333,1295,1371,1464,1654,1780,1647,1773,1668,1741,1918,2003
1270,144892,Eastern Illinois University,Percent of applicants admitted,55.3%,51.5%,46.9%,50.2%,49.8%,61.9%,64.6%,67.9%,65.5%,68.4%,69.5%,70.9%,72.7%,77.8%,38.7%,77.9%,77.8%
1271,144892,Eastern Illinois University,Percent of admitted who enrolled,16.8%,18.5%,19.6%,25.0%,25.4%,27.3%,29.9%,28.5%,29.7%,32.0%,33.4%,32.4%,32.5%,27.9%,52.6%,30.4%,34.1%
1278,145600,University of Illinois at Chicago,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1279,145600,University of Illinois at Chicago,Number of applicants,21106,18768,17931,15664,15560,14603,14380,14564,14889,14661,14269,13595,13000,12692,12362,12250,12430
1280,145600,University of Illinois at Chicago,Number admitted,15945,14467,13196,12007,11589,10427,9193,9151,9411,9244,8567,8686,7559,7418,7627,7425,7596
1281,145600,University of Illinois at Chicago,Number admitted who enrolled,4159,4051,3307,3485,3030,3104,3123,3115,3204,3147,2964,3291,2852,2776,2716,2942,3015
1282,145600,University of Illinois at Chicago,Percent of applicants admitted,75.5%,77.1%,73.6%,76.7%,74.5%,71.4%,63.9%,62.8%,63.2%,63.1%,60.0%,63.9%,58.1%,58.4%,61.7%,60.6%,61.1%
1283,145600,University of Illinois at Chicago,Percent of admitted who enrolled,26.1%,28.0%,25.1%,29.0%,26.1%,29.8%,34.0%,34.0%,34.0%,34.0%,34.6%,37.9%,37.7%,37.4%,35.6%,39.6%,39.7%
1284,145637,University of Illinois at Urbana-Champaign,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
1285,145637,University of Illinois at Urbana-Champaign,Number of applicants,39406,38965,38093,34277,35822,33203,31454,28751,27310,26057,23240,21645,18985,21986,22269,21484,19930
1286,145637,University of Illinois at Urbana-Champaign,Number admitted,24496,23974,22881,22471,21150,20716,19924,19434,18324,17053,16043,15361,14324,14955,13939,12924,12351
1287,145637,University of Illinois at Urbana-Champaign,Number admitted who enrolled,7609,7518,7592,7562,6937,7329,6921,7252,6929,6984,7287,6940,7580,7237,6811,6366,6247
1288,145637,University of Illinois at Urbana-Champaign,Percent of applicants admitted,62.2%,61.5%,60.1%,65.6%,59.0%,62.4%,63.3%,67.6%,67.1%,65.4%,69.0%,71.0%,75.4%,68.0%,62.6%,60.2%,62.0%
1289,145637,University of Illinois at Urbana-Champaign,Percent of admitted who enrolled,31.1%,31.4%,33.2%,33.7%,32.8%,35.4%,34.7%,37.3%,37.8%,41.0%,45.4%,45.2%,52.9%,48.4%,48.9%,49.3%,50.6%
1290,145813,Illinois State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1291,145813,Illinois State University,Number of applicants,12886,11592,12078,12139,15298,15354,12406,13156,13671,14114,13549,12550,12071,10414,10219,10075,9070
1292,145813,Illinois State University,Number admitted,11492,10332,10735,10648,11302,10582,9178,9339,9141,8711,8699,8461,8218,8030,7654,7570,7382
1293,145813,Illinois State University,Number admitted who enrolled,3689,3352,3694,3630,3589,2981,3094,3321,3190,3033,3394,3418,3200,3179,2834,3097,3108
1294,145813,Illinois State University,Percent of applicants admitted,89.2%,89.1%,88.9%,87.7%,73.9%,68.9%,74.0%,71.0%,66.9%,61.7%,64.2%,67.4%,68.1%,77.1%,74.9%,75.1%,81.4%
1295,145813,Illinois State University,Percent of admitted who enrolled,32.1%,32.4%,34.4%,34.1%,31.8%,28.2%,33.7%,35.6%,34.9%,34.8%,39.0%,40.4%,38.9%,39.6%,37.0%,40.9%,42.1%
1296,147703,Northern Illinois University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1297,147703,Northern Illinois University,Number of applicants,14157,14641,14980,17099,19814,25914,23720,17586,19084,17787,17307,14778,14594,14060,15861,14512,13591
1298,147703,Northern Illinois University,Number admitted,7698,7806,7766,8610,10083,14545,13381,9239,10368,10409,10072,10273,10332,9908,10087,10027,9436
1299,147703,Northern Illinois University,Number admitted who enrolled,1856,1852,1802,2259,2542,2679,2664,2590,2705,3033,2881,3013,3282,3179,2951,3253,3040
1300,147703,Northern Illinois University,Percent of applicants admitted,54.4%,53.3%,51.8%,50.4%,50.9%,56.1%,56.4%,52.5%,54.3%,58.5%,58.2%,69.5%,70.8%,70.5%,63.6%,69.1%,69.4%
1301,147703,Northern Illinois University,Percent of admitted who enrolled,24.1%,23.7%,23.2%,26.2%,25.2%,18.4%,19.9%,28.0%,26.1%,29.1%,28.6%,29.3%,31.8%,32.1%,29.3%,32.4%,32.2%
1314,149222,Southern Illinois University-Carbondale,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1315,149222,Southern Illinois University-Carbondale,Number of applicants,6232,7961,9106,10667,10896,11634,14535,14511,12664,11509,11785,9807,9013,9285,9388,8627,8073
1316,149222,Southern Illinois University-Carbondale,Number admitted,4478,6051,6980,8602,8883,9176,7474,6402,7509,7900,8163,6941,6426,7173,7175,6665,6318
1317,149222,Southern Illinois University-Carbondale,Number admitted who enrolled,1133,1395,1611,2177,2775,2612,2364,2417,2314,2450,2686,2636,2380,2470,2678,2624,2532
1318,149222,Southern Illinois University-Carbondale,Percent of applicants admitted,71.9%,76.0%,76.7%,80.6%,81.5%,78.9%,51.4%,44.1%,59.3%,68.6%,69.3%,70.8%,71.3%,77.3%,76.4%,77.3%,78.3%
1319,149222,Southern Illinois University-Carbondale,Percent of admitted who enrolled,25.3%,23.1%,23.1%,25.3%,31.2%,28.5%,31.6%,37.8%,30.8%,31.0%,32.9%,38.0%,37.0%,34.4%,37.3%,39.4%,40.1%
1320,149231,Southern Illinois University-Edwardsville,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1321,149231,Southern Illinois University-Edwardsville,Number of applicants,6410,6273,7274,7786,7594,7646,7660,7542,7354,6952,6231,5658,5807,5379,4759,4383,4263
1322,149231,Southern Illinois University-Edwardsville,Number admitted,5605,5615,6496,6869,6604,6437,6272,6070,6052,5863,5540,4743,4358,4149,3706,3542,3371
1323,149231,Southern Illinois University-Edwardsville,Number admitted who enrolled,1706,1797,1935,2096,2126,1966,2075,2060,2065,1950,1922,1860,1794,1748,1723,1743,1655
1324,149231,Southern Illinois University-Edwardsville,Percent of applicants admitted,87.4%,89.5%,89.3%,88.2%,87.0%,84.2%,81.9%,80.5%,82.3%,84.3%,88.9%,83.8%,75.0%,77.1%,77.9%,80.8%,79.1%
1325,149231,Southern Illinois University-Edwardsville,Percent of admitted who enrolled,30.4%,32.0%,29.8%,30.5%,32.2%,30.5%,33.1%,33.9%,34.1%,33.3%,34.7%,39.2%,41.2%,42.1%,46.5%,49.2%,49.1%
1326,149772,Western Illinois University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1327,149772,Western Illinois University,Number of applicants,9151,9767,10191,10877,10671,10554,10326,9731,8398,8331,8164,8203,7620,7286,7833,7612,9682
1328,149772,Western Illinois University,Number admitted,5379,5857,6059,6534,7431,6260,6481,6384,5423,5301,5528,5594,5371,5224,5490,5032,6206
1329,149772,Western Illinois University,Number admitted who enrolled,934,1206,1527,1535,1605,1652,1754,1955,1758,1641,1816,1957,1922,1816,2085,1961,1939
1330,149772,Western Illinois University,Percent of applicants admitted,58.8%,60.0%,59.5%,60.1%,69.6%,59.3%,62.8%,65.6%,64.6%,63.6%,67.7%,68.2%,70.5%,71.7%,70.1%,66.1%,64.1%
1331,149772,Western Illinois University,Percent of admitted who enrolled,17.4%,20.6%,25.2%,23.5%,21.6%,26.4%,27.1%,30.6%,32.4%,31.0%,32.9%,35.0%,35.8%,34.8%,38.0%,39.0%,31.2%
1332,150136,Ball State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1333,150136,Ball State University,Number of applicants,23988,24191,24735,22147,18107,17118,16964,14302,17463,13021,13773,13198,10935,9889,10375,10818,10771
1334,150136,Ball State University,Number admitted,15539,15017,15398,13399,10842,10364,10353,9659,11298,9594,10109,9502,8647,7944,7928,8230,8196
1335,150136,Ball State University,Number admitted who enrolled,3683,3985,3877,3503,3597,3616,3556,3844,3882,4178,4039,3773,3997,3692,3364,3694,3774
1336,150136,Ball State University,Percent of applicants admitted,64.8%,62.1%,62.3%,60.5%,59.9%,60.5%,61.0%,67.5%,64.7%,73.7%,73.4%,72.0%,79.1%,80.3%,76.4%,76.1%,76.1%
1337,150136,Ball State University,Percent of admitted who enrolled,23.7%,26.5%,25.2%,26.1%,33.2%,34.9%,34.3%,39.8%,34.4%,43.5%,40.0%,39.7%,46.2%,46.5%,42.4%,44.9%,46.0%
1338,151102,Purdue University Fort Wayne,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1339,151102,Purdue University Fort Wayne,Number of applicants,4777,4403,3532,3506,3386,3702,3270,2779,4041,3597,3277,3103,2850,2786,2915,2486,2471
1340,151102,Purdue University Fort Wayne,Number admitted,4615,4157,3294,3231,3077,3076,2686,2530,3833,3464,3158,3012,2767,2681,2803,2402,2395
1341,151102,Purdue University Fort Wayne,Number admitted who enrolled,1553,1562,1600,1634,1559,1660,1629,2044,2297,2222,2094,1957,1786,1895,1817,1643,1732
1342,151102,Purdue University Fort Wayne,Percent of applicants admitted,96.6%,94.4%,93.3%,92.2%,90.9%,83.1%,82.1%,91.0%,94.9%,96.3%,96.4%,97.1%,97.1%,96.2%,96.2%,96.6%,96.9%
1343,151102,Purdue University Fort Wayne,Percent of admitted who enrolled,33.7%,37.6%,48.6%,50.6%,50.7%,54.0%,60.6%,80.8%,59.9%,64.1%,66.3%,65.0%,64.5%,70.7%,64.8%,68.4%,72.3%
1344,151111,Indiana University-Purdue University-Indianapolis,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1345,151111,Indiana University-Purdue University-Indianapolis,Number of applicants,13339,11091,13301,13529,12920,12230,11350,10164,11765,9641,8856,7958,10113,6136,6078,5698,5744
1346,151111,Indiana University-Purdue University-Indianapolis,Number admitted,10820,8834,9839,9425,9107,8510,7612,7048,7452,6414,6164,5616,7524,4525,4448,4373,4309
1347,151111,Indiana University-Purdue University-Indianapolis,Number admitted who enrolled,4103,4093,4003,3929,3949,3796,3359,3059,2925,3019,3040,2949,4988,2746,2720,2826,2787
1348,151111,Indiana University-Purdue University-Indianapolis,Percent of applicants admitted,81.1%,79.7%,74.0%,69.7%,70.5%,69.6%,67.1%,69.3%,63.3%,66.5%,69.6%,70.6%,74.4%,73.7%,73.2%,76.7%,75.0%
1349,151111,Indiana University-Purdue University-Indianapolis,Percent of admitted who enrolled,37.9%,46.3%,40.7%,41.7%,43.4%,44.6%,44.1%,43.4%,39.3%,47.1%,49.3%,52.5%,66.3%,60.7%,61.2%,64.6%,64.7%
1356,151324,Indiana State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1357,151324,Indiana State University,Number of applicants,12861,11720,11101,11819,11258,11019,10709,10380,12183,8154,7575,6428,5231,5351,5399,5568,5550
1358,151324,Indiana State University,Number admitted,11563,9904,9534,10104,9292,9152,9245,8843,8500,5582,5024,4520,4186,4279,4499,4860,4403
1359,151324,Indiana State University,Number admitted who enrolled,2402,2688,2448,2784,2739,2661,2664,2521,2707,2035,1940,1852,1703,1642,1851,2016,2140
1360,151324,Indiana State University,Percent of applicants admitted,89.9%,84.5%,85.9%,85.5%,82.5%,83.1%,86.3%,85.2%,69.8%,68.5%,66.3%,70.3%,80.0%,80.0%,83.3%,87.3%,79.3%
1361,151324,Indiana State University,Percent of admitted who enrolled,20.8%,27.1%,25.7%,27.6%,29.5%,29.1%,28.8%,28.5%,31.8%,36.5%,38.6%,41.0%,40.7%,38.4%,41.1%,41.5%,48.6%
1374,151351,Indiana University-Bloomington,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1375,151351,Indiana University-Bloomington,Number of applicants,44169,41939,34646,34483,36362,37826,35247,35218,36719,33011,31177,29059,26645,21974,21172,22178,21264
1376,151351,Indiana University-Bloomington,Number admitted,33970,31878,27272,26892,27668,27300,26228,25455,25391,23975,22039,20282,20873,18602,17572,17992,17267
1377,151351,Indiana University-Bloomington,Number admitted who enrolled,8097,8001,7673,7875,7716,7604,7613,7424,7020,7327,7564,7197,8183,6949,6352,6784,7080
1378,151351,Indiana University-Bloomington,Percent of applicants admitted,76.9%,76.0%,78.7%,78.0%,76.1%,72.2%,74.4%,72.3%,69.1%,72.6%,70.7%,69.8%,78.3%,84.7%,83.0%,81.1%,81.2%
1379,151351,Indiana University-Bloomington,Percent of admitted who enrolled,23.8%,25.1%,28.1%,29.3%,27.9%,27.9%,29.0%,29.2%,27.6%,30.6%,34.3%,35.5%,39.2%,37.4%,36.1%,37.7%,41.0%
1410,153603,Iowa State University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1411,153603,Iowa State University,Number of applicants,18855,19262,19433,19164,18399,16539,14540,15066,12536,12549,11058,9634,9101,9101,9172,9035,10370
1412,153603,Iowa State University,Number admitted,17082,17208,17002,16702,15990,13648,12541,12135,10662,10953,9832,8674,8216,8216,8273,8116,9232
1413,153603,Iowa State University,Number admitted who enrolled,6047,5944,6325,6230,6041,5366,5048,4552,4356,4546,4347,3983,3769,3769,3729,3897,4219
1414,153603,Iowa State University,Percent of applicants admitted,90.6%,89.3%,87.5%,87.2%,86.9%,82.5%,86.3%,80.5%,85.1%,87.3%,88.9%,90.0%,90.3%,90.3%,90.2%,89.8%,89.0%
1415,153603,Iowa State University,Percent of admitted who enrolled,35.4%,34.5%,37.2%,37.3%,37.8%,39.3%,40.3%,37.5%,40.9%,41.5%,44.2%,45.9%,45.9%,45.9%,45.1%,48.0%,45.7%
1416,153658,University of Iowa,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1417,153658,University of Iowa,Number of applicants,26706,27734,28494,26222,24097,21642,19430,18939,17220,15060,15582,14678,14350,13241,13874,13337,13079
1418,153658,University of Iowa,Number admitted,22077,23862,23967,21171,19506,17363,15240,15105,14434,12503,12827,12209,11880,11122,11545,10979,11038
1419,153658,University of Iowa,Number admitted who enrolled,4806,5027,5643,5241,4666,4460,4470,4565,4557,4063,4246,4287,4289,3849,4017,4083,4184
1420,153658,University of Iowa,Percent of applicants admitted,82.7%,86.0%,84.1%,80.7%,80.9%,80.2%,78.4%,79.8%,83.8%,83.0%,82.3%,83.2%,82.8%,84.0%,83.2%,82.3%,84.4%
1421,153658,University of Iowa,Percent of admitted who enrolled,21.8%,21.1%,23.5%,24.8%,23.9%,25.7%,29.3%,30.2%,31.6%,32.5%,33.1%,35.1%,36.1%,34.6%,34.8%,37.2%,37.9%
1428,154095,University of Northern Iowa,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
1429,154095,University of Northern Iowa,Number of applicants,5217,5494,5196,5394,5562,4068,4322,4666,4092,4133,4584,4722,4585,4360,4216,4375,4318
1430,154095,University of Northern Iowa,Number admitted,4212,4441,4290,4290,4278,3389,3350,3607,3409,3505,3928,3759,3572,3422,3360,3509,3439
1431,154095,University of Northern Iowa,Number admitted who enrolled,1661,1834,2000,1916,1797,1722,1704,1942,1978,1946,2015,1991,1768,1737,1700,1785,1865
1432,154095,University of Northern Iowa,Percent of applicants admitted,80.7%,80.8%,82.6%,79.5%,76.9%,83.3%,77.5%,77.3%,83.3%,84.8%,85.7%,79.6%,77.9%,78.5%,79.7%,80.2%,79.6%
1433,154095,University of Northern Iowa,Percent of admitted who enrolled,39.4%,41.3%,46.6%,44.7%,42.0%,50.8%,50.9%,53.8%,58.0%,55.5%,51.3%,53.0%,49.5%,50.8%,50.6%,50.9%,54.2%
1464,155317,University of Kansas,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
1465,155317,University of Kansas,Number of applicants,14752,14538,15015,15155,15767,12389,10035,10157,10653,10902,10367,10240,10030,10442,9700,9573,9005
1466,155317,University of Kansas,Number admitted,13529,13576,13965,14165,14414,11433,9306,9397,9740,10003,9554,7874,7435,7228,6600,6458,6157
1467,155317,University of Kansas,Number admitted who enrolled,4164,4153,4233,4187,4084,3771,3580,3702,3942,4483,4084,4153,4201,4269,4066,4074,4078
1468,155317,University of Kansas,Percent of applicants admitted,91.7%,93.4%,93.0%,93.5%,91.4%,92.3%,92.7%,92.5%,91.4%,91.8%,92.2%,76.9%,74.1%,69.2%,68.0%,67.5%,68.4%
1469,155317,University of Kansas,Percent of admitted who enrolled,30.8%,30.6%,30.3%,29.6%,28.3%,33.0%,38.5%,39.4%,40.5%,44.8%,42.7%,52.7%,56.5%,59.1%,61.6%,63.1%,66.2%
1470,155399,Kansas State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2006,Fall 2005,Fall 2004,Fall 2004,Fall 2003,Fall 2002
1471,155399,Kansas State University,Number of applicants,8685,8517,9213,9178,9614,9839,9273,8292,8268,8413,9386,7479,9937,10067,10066,7952,8212
1472,155399,Kansas State University,Number admitted,8112,8016,8667,8712,9127,9437,9180,8204,8147,8283,5249,6207,4788,4806,4806,4736,4752
1473,155399,Kansas State University,Number admitted who enrolled,3467,3350,3581,3624,3757,3821,3770,3644,3561,3687,3981,3104,3309,3466,3466,3439,3527
1474,155399,Kansas State University,Percent of applicants admitted,93.4%,94.1%,94.1%,94.9%,94.9%,95.9%,99.0%,98.9%,98.5%,98.5%,55.9%,83.0%,48.2%,47.7%,47.7%,59.6%,57.9%
1475,155399,Kansas State University,Percent of admitted who enrolled,42.7%,41.8%,41.3%,41.6%,41.2%,40.5%,41.1%,44.4%,43.7%,44.5%,75.8%,50.0%,69.1%,72.1%,72.1%,72.6%,74.2%
1488,156125,Wichita State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2001
1489,156125,Wichita State University,Number of applicants,5799,5469,6305,5430,4517,3492,3515,3304,2840,2964,3069,3002,2781,2066,2780,6510,3458
1490,156125,Wichita State University,Number admitted,5596,5130,5437,5144,4315,3344,3347,3102,2551,2622,2638,2543,2269,1734,2279,4630,2016
1491,156125,Wichita State University,Number admitted who enrolled,1714,1598,1654,1429,1583,1412,1359,1366,1305,1387,1420,1351,1253,1241,1158,2812,1230
1492,156125,Wichita State University,Percent of applicants admitted,96.5%,93.8%,86.2%,94.7%,95.5%,95.8%,95.2%,93.9%,89.8%,88.5%,86.0%,84.7%,81.6%,83.9%,82.0%,71.1%,58.3%
1493,156125,Wichita State University,Percent of admitted who enrolled,30.6%,31.2%,30.4%,27.8%,36.7%,42.2%,40.6%,44.0%,51.2%,52.9%,53.8%,53.1%,55.2%,71.6%,50.8%,60.7%,61.0%
1500,156620,Eastern Kentucky University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
1501,156620,Eastern Kentucky University,Number of applicants,9117,9187,8091,10215,9776,9932,9461,9159,8339,7213,6948,6776,6208,4869,5513,5003,4744
1502,156620,Eastern Kentucky University,Number admitted,7958,8027,6985,7215,7222,5961,6272,6023,5742,5213,4788,4410,4552,4561,4211,3937,3760
1503,156620,Eastern Kentucky University,Number admitted who enrolled,2426,2574,2595,2794,2608,2306,2421,2593,2564,2495,2493,2487,2500,2554,2561,2352,2146
1504,156620,Eastern Kentucky University,Percent of applicants admitted,87.3%,87.4%,86.3%,70.6%,73.9%,60.0%,66.3%,65.8%,68.9%,72.3%,68.9%,65.1%,73.3%,93.7%,76.4%,78.7%,79.3%
1505,156620,Eastern Kentucky University,Percent of admitted who enrolled,30.5%,32.1%,37.2%,38.7%,36.1%,38.7%,38.6%,43.1%,44.7%,47.9%,52.1%,56.4%,54.9%,56.0%,60.8%,59.7%,57.1%
1518,157085,University of Kentucky,Reporting period,,,,,,Fall 2013,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
1519,157085,University of Kentucky,Number of applicants,19324,18925,20480,18725,20677,19810,15153,13537,12195,11120,10619,10024,10516,10604,9418,8879,8449
1520,157085,University of Kentucky,Number admitted,18258,18125,18593,16685,14930,13592,10362,9275,8966,8757,8172,8073,8124,8353,7603,7250,6914
1521,157085,University of Kentucky,Number admitted who enrolled,5077,4855,5117,5211,5185,4702,4139,4328,4153,4110,3865,4190,3835,3961,3688,3718,3140
1522,157085,University of Kentucky,Percent of applicants admitted,94.5%,95.8%,90.8%,89.1%,72.2%,68.6%,68.4%,68.5%,73.5%,78.8%,77.0%,80.5%,77.3%,78.8%,80.7%,81.7%,81.8%
